stratum,family,query_id,query_source,method,n_candidates,n_comparable,n_incomparable,incomparable_rate
same-source,primary,Q0000,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0000,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0000,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0000,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0000,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0001,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0001,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0001,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0001,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0001,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0002,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0002,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0002,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0002,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0002,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0003,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0003,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0003,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0003,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0003,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0004,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0004,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0004,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0004,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0004,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0005,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0005,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0005,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0005,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0005,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0006,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0006,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0006,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0006,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0006,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0007,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0007,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0007,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0007,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0007,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0008,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0008,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0008,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0008,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0008,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0009,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0009,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0009,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0009,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0009,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0010,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0010,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0010,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0010,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0010,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0011,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0011,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0011,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0011,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0011,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0012,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0012,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0012,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0012,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0012,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0013,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0013,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0013,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0013,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0013,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0014,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0014,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0014,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0014,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0014,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0015,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0015,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0015,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0015,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0015,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0016,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0016,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0016,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0016,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0016,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0017,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0017,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0017,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0017,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0017,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0018,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0018,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0018,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0018,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0018,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0019,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0019,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0019,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0019,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0019,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0020,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0020,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0020,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0020,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0020,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0021,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0021,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0021,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0021,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0021,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0022,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0022,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0022,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0022,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0022,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0023,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0023,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0023,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0023,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0023,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0024,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0024,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0024,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0024,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0024,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0025,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0025,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0025,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0025,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0025,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0026,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0026,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0026,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0026,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0026,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0027,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0027,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0027,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0027,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0027,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0028,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0028,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0028,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0028,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0028,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0029,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0029,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0029,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0029,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0029,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0030,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0030,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0030,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0030,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0030,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0031,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0031,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0031,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0031,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0031,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0032,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0032,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0032,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0032,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0032,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0033,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0033,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0033,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0033,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0033,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0034,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0034,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0034,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0034,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0034,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0035,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0035,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0035,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0035,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0035,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0036,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0036,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0036,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0036,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0036,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0037,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0037,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0037,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0037,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0037,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0038,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0038,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0038,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0038,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0038,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0039,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0039,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0039,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0039,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0039,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0040,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0040,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0040,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0040,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0040,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0041,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0041,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0041,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0041,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0041,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0042,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0042,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0042,msd_pancreas,OAKG-Union,280,280,0,0.0
