stratum,family,query_id,query_source,eligible_ndcg,n_candidates,n_graded_relevant,n_binary_relevant,exclusion_reason
same-source,primary,Q0000,msd_pancreas,True,280,280,280,
same-source,primary,Q0001,msd_pancreas,True,280,131,2,
same-source,primary,Q0002,msd_pancreas,True,280,2,2,
same-source,primary,Q0003,msd_pancreas,True,280,2,1,
same-source,primary,Q0004,msd_pancreas,True,280,2,2,
same-source,primary,Q0005,msd_pancreas,True,280,280,131,
same-source,primary,Q0006,msd_pancreas,True,280,280,132,
same-source,primary,Q0007,msd_pancreas,True,280,280,280,
same-source,primary,Q0008,msd_pancreas,True,280,280,132,
same-source,primary,Q0009,msd_pancreas,True,280,280,132,
same-source,primary,Q0010,msd_pancreas,True,280,131,68,
same-source,primary,Q0011,msd_pancreas,True,280,132,132,
same-source,primary,Q0012,msd_pancreas,True,280,280,280,
same-source,primary,Q0013,msd_pancreas,True,280,280,132,
same-source,primary,Q0014,msd_pancreas,True,280,280,280,
same-source,primary,Q0015,msd_pancreas,True,280,280,131,
same-source,primary,Q0016,msd_pancreas,True,280,2,1,
same-source,primary,Q0017,msd_pancreas,True,280,120,1,
same-source,primary,Q0018,msd_pancreas,True,280,120,68,
same-source,primary,Q0019,msd_pancreas,True,280,2,1,
same-source,primary,Q0020,msd_pancreas,True,280,131,68,
same-source,primary,Q0021,msd_pancreas,True,280,280,2,
same-source,primary,Q0022,msd_pancreas,True,280,280,2,
same-source,primary,Q0023,msd_pancreas,True,280,131,69,
same-source,primary,Q0024,msd_pancreas,True,280,2,2,
same-source,primary,Q0025,msd_pancreas,True,280,280,2,
same-source,primary,Q0026,msd_pancreas,True,280,280,131,
same-source,primary,Q0027,msd_pancreas,True,280,2,2,
same-source,primary,Q0028,msd_pancreas,True,280,121,1,
same-source,primary,Q0029,msd_pancreas,True,280,2,2,
same-source,primary,Q0030,msd_pancreas,True,280,121,121,
same-source,primary,Q0031,msd_pancreas,True,280,121,121,
same-source,primary,Q0032,msd_pancreas,True,280,2,1,
same-source,primary,Q0033,msd_pancreas,True,280,280,280,
same-source,primary,Q0034,msd_pancreas,True,280,280,120,
same-source,primary,Q0035,msd_pancreas,True,280,132,132,
same-source,primary,Q0036,msd_pancreas,True,280,280,120,
same-source,primary,Q0037,msd_pancreas,True,280,280,131,
same-source,primary,Q0038,msd_pancreas,True,280,131,2,
same-source,primary,Q0039,msd_pancreas,True,280,120,120,
same-source,primary,Q0040,msd_pancreas,True,280,280,280,
same-source,primary,Q0041,msd_pancreas,True,280,121,69,
same-source,primary,Q0042,msd_pancreas,True,280,131,131,
same-source,primary,Q0043,msd_pancreas,True,280,121,121,
same-source,primary,Q0044,msd_pancreas,True,280,121,121,
same-source,primary,Q0045,msd_pancreas,True,280,121,121,
same-source,primary,Q0046,msd_pancreas,True,280,132,69,
same-source,primary,Q0047,msd_pancreas,True,280,132,2,
